user_id,movie_id,watch,timestamp
498362,crimes+of+fashion+2004,3
49965,toy+story+1995,7
50821,the+mask+1994,27
131843,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,39
546851,flypaper+2011,23
352337,the+shawshank+redemption+1994,53
268403,dr.+horribles+sing-along+blog+2008,39
210688,iron+man+2008,32
277093,razorback+1984,86
546909,american+beauty+1999,21
572870,stroszek+1977,94
110134,pulp+fiction+1994,27
292544,i+thank+a+fool+1962,58
186689,american+beauty+1999,66
538454,the+lost+weekend+1945,46
108714,the+shawshank+redemption+1994,34
478852,city+of+god+2002,41
274134,the+lord+of+the+rings+the+two+towers+2002,64
462912,blind+pig+who+wants+to+fly+2008,71
341222,the+silence+of+the+lambs+1991,77
222553,the+silence+of+the+lambs+1991,64
541076,good+bye_+lenin+2003,73
226528,terminator+2+judgment+day+1991,52
10571,sympathy+for+lady+vengeance+2005,4
241494,one+flew+over+the+cuckoos+nest+1975,122
142914,the+lord+of+the+rings+the+two+towers+2002,58
175132,reservoir+dogs+1992,1
18438,mauvais+sang+1986,36
443891,the+lord+of+the+rings+the+two+towers+2002,57
294355,caesar+must+die+2012,52
227182,ratatouille+2007,68
539560,walle+2008,2
551852,kingsman+the+secret+service+2015,19
230678,schindlers+list+1993,79
552034,the+usual+suspects+1995,29
107301,star+wars+1977,101
280836,city+of+god+2002,71
77846,the+matrix+1999,69
450273,life+is+beautiful+1997,90
105655,the+shawshank+redemption+1994,95
343216,aparajito+1956,11
512375,city+of+god+2002,30
475957,dances+with+wolves+1990,130
271875,memento+2000,14
275108,dr.+strangelove+or+how+i+learned+to+stop+worrying+and+love+the+bomb+1964,77
516104,the+lord+of+the+rings+the+two+towers+2002,166
60716,the+usual+suspects+1995,98
366022,the+shawshank+redemption+1994,64
56398,the+godfather+1972,9
407169,patton+1970,95
560267,like+father_+like+son+2013,94
481701,the+shawshank+redemption+1994,87
404982,american+beauty+1999,82
298747,the+best+years+of+our+lives+1946,70
553688,seven+samurai+1954,103
48183,i+love+you+again+1940,6
36972,the+usual+suspects+1995,78
101762,to+kill+a+mockingbird+1962,81
197316,the+usual+suspects+1995,62
400133,the+organizer+1963,104
41149,chitty+chitty+bang+bang+1968,66
138906,krrish+2006,42
518079,incendies+2010,66
106851,the+godfather+1972,125
50632,modern+times+1936,49
158047,incendies+2010,87
48049,the+great+escape+1963,48
76784,aladdin+1992,66
348867,schindlers+list+1993,52
360899,life+is+beautiful+1997,40
486871,the+sting+1973,72
154430,the+godfather+part+ii+1974,23
65502,pulp+fiction+1994,38
508444,the+lord+of+the+rings+the+two+towers+2002,87
439423,the+lord+of+the+rings+the+two+towers+2002,60
221914,dr.+strangelove+or+how+i+learned+to+stop+worrying+and+love+the+bomb+1964,71
489224,city+lights+1931,41
1407,the+ballad+of+narayama+1983,96
289040,the+terrace+1980,38
365317,citizen+kane+1941,28
567059,the+conformist+1970,29
110874,the+shawshank+redemption+1994,48
342072,the+lives+of+others+2006,61
333835,black+cat_+white+cat+1998,44
40235,the+lives+of+others+2006,60
55653,moon+2009,41
242956,into+the+wild+2007,31
178316,pk+2014,47
356021,schindlers+list+1993,149
173791,the+lord+of+the+rings+the+return+of+the+king+2003,10
376432,rear+window+1954,49
412857,3-iron+2004,53
40698,django+unchained+2012,37
185605,the+damned+united+2009,51
75978,the+shawshank+redemption+1994,52
21551,the+princess+bride+1987,46
125578,gladiator+2000,51
413718,lady+killer+1937,41
66305,sicilia+1999,22
216306,the+best+years+of+our+lives+1946,20
370249,pulp+fiction+1994,36
546468,the+godfather+part+ii+1974,12
580665,star+wars+1977,27
