user_id,movie_id,watch,timestamp
688535,badmans+territory+1946,3
31721,i+am+divine+2013,47
241477,veer-zaara+2004,22
327851,life+is+hot+in+cracktown+2009,24
633761,z+1969,4
396259,behind+the+candelabra+2013,35
187066,just+one+of+the+guys+1985,21
272970,hamlet+2009,80
572959,cold+prey+iii+2010,28
715858,blood+of+redemption+2013,47
173913,stranger+on+the+third+floor+1940,15
53314,royal+deceit+1994,42
245456,himalaya+1999,42
675650,splinterheads+2009,19
150808,raining+stones+1993,67
284181,a+film+with+me+in+it+2008,21
41951,my+man+godfrey+1936,73
541475,howls+moving+castle+2004,16
548240,the+captains+paradise+1953,61
442821,life+after+beth+2014,56
223551,star+wars+1977,58
587860,love+happy+1949,74
327395,terminator+2+judgment+day+1991,60
262226,harry+potter+and+the+chamber+of+secrets+2002,122
561121,coraline+2009,34
55725,patton+oswalt+no+reason+to+complain+2006,37
15763,catch-22+1970,94
515856,inception+2010,62
151460,the+lord+of+the+rings+the+return+of+the+king+2003,128
129399,coraline+2009,80
366354,warm+bodies+2013,45
156033,gold+diggers+of+1937+1936,61
353508,my+neighbor+totoro+1988,70
707474,mean+machine+2001,48
429197,jo+pour+jonathan+2011,78
116948,bel+ami+2012,24
61922,blade+runner+1982,95
241721,scenes+from+the+class+struggle+in+beverly+hills+1989,8
534235,the+imitation+game+2014,86
202102,super+inframan+1975,80
717618,song+for+marion+2012,65
117385,laggies+2014,14
570028,the+terminator+1984,42
337651,picnic+at+hanging+rock+1975,71
242868,the+hobbit+the+desolation+of+smaug+2013,88
118325,for+no+good+reason+2012,67
31733,love+happens+2009,31
451452,paradise+alley+1978,69
334150,spin+2003,93
337811,the+conformist+1970,108
567558,spider-man+3+2007,91
270421,birthday+girl+2001,53
301909,top+gun+1986,110
236264,harry+potter+and+the+half-blood+prince+2009,37
320611,the+goonies+1985,98
648377,frozen+2013,57
281806,yes+man+2008,61
714335,the+emperors+new+groove+2000,11
503948,cambridge+spies+2003,148
350507,kippur+2000,2
407148,painted+skin+2008,12
451647,scott+pilgrim+vs.+the+world+2010,108
