user_id,movie_id,rate
433169,the+dark+knight+2008,5
368713,city+of+god+2002,5
43990,samurai+banners+1969,4
406621,city+of+god+2002,5
37029,a+christmas+story+1983,5
567104,spellbound+2002,5
479145,american+beauty+1999,4
263132,amlie+2001,5
241558,one+flew+over+the+cuckoos+nest+1975,3
109311,kill+bill+vol.+1+2003,4
129825,city+of+god+2002,5
266969,some+kind+of+wonderful+1987,5
117368,citizen+kane+1941,5
509068,the+usual+suspects+1995,4
273042,casablanca+1942,4
98947,incendies+2010,5
76587,dr.+strangelove+or+how+i+learned+to+stop+worrying+and+love+the+bomb+1964,5
381372,the+lord+of+the+rings+the+two+towers+2002,5
323082,the+sixth+sense+1999,5
12641,a+clockwork+orange+1971,4
134876,alien+1979,5
415177,the+sessions+2012,4
93031,partly+cloudy+2009,5
138329,the+godfather+1972,5
227643,the+incredible+hulk+2008,2
508430,the+lord+of+the+rings+the+two+towers+2002,4
553919,blown+away+1993,4
422240,the+conversation+1974,4
544394,the+killing+1956,4
430714,star+wars+1977,4
13103,the+princess+bride+1987,5
271612,the+matrix+1999,5
500617,city+of+god+2002,5
146505,the+silence+of+the+lambs+1991,4
468256,the+lord+of+the+rings+the+two+towers+2002,5
526421,live+free+or+die+2006,1
89648,the+shawshank+redemption+1994,5
134372,lara+croft+tomb+raider+the+cradle+of+life+2003,3
542642,star+wars+1977,4
480240,to+kill+a+mockingbird+1962,4
73279,seven+samurai+1954,4
180248,manhattan+melodrama+1934,3
100433,m+1931,3
73448,die_+monster_+die+1965,2
457612,life+is+beautiful+1997,5
121208,harry+potter+and+the+deathly+hallows+part+1+2010,3
546727,pans+labyrinth+2006,3
540818,tangled+2010,4
163362,magnolia+1999,4
115299,django+unchained+2012,3
96738,the+usual+suspects+1995,5
240167,amlie+2001,4
118138,the+empire+strikes+back+1980,5
173627,life+is+beautiful+1997,5
386216,shaft+2000,3
56512,pulp+fiction+1994,3
157958,the+godfather+part+ii+1974,5
303771,fight+club+1999,3
258984,star+wars+1977,2
423995,the+golden+eye+1948,3
235489,rope+1948,2
519205,schindlers+list+1993,4
452095,dr.+strangelove+or+how+i+learned+to+stop+worrying+and+love+the+bomb+1964,4
392499,the+shawshank+redemption+1994,4
201771,crouching+tiger_+hidden+dragon+2000,4
77082,inception+2010,5
234742,inception+2010,3
381732,casablanca+1942,3
566563,town+without+pity+1961,2
248330,the+notebook+2013,4
111167,boys+2014,4
340464,city+of+god+2002,4
98225,the+godfather+1972,3
466584,six+by+sondheim+2013,4
420025,taxi+driver+1976,4
135926,shadow+of+a+doubt+1943,4
132005,the+hobbit+the+battle+of+the+five+armies+2014,4
40210,one+flew+over+the+cuckoos+nest+1975,4
176028,the+lives+of+others+2006,4
264989,the+usual+suspects+1995,4
15816,the+lord+of+the+rings+the+two+towers+2002,4
286108,star+wars+1977,4
174321,touch+of+evil+1958,4
56514,city+lights+1931,4
456421,chinatown+1974,4
489786,casablanca+1942,4
206895,the+return+of+martin+guerre+1982,4
454079,dr.+strangelove+or+how+i+learned+to+stop+worrying+and+love+the+bomb+1964,4
544981,the+godfather+part+ii+1974,4
546956,the+dark+knight+2008,4
294901,up+2009,5
258620,spirited+away+2001,5
437723,the+state+of+things+1982,3
218185,my+neighbor+totoro+1988,4
54463,twelve+monkeys+1995,4
215824,le+trou+1960,5
393313,the+lord+of+the+rings+the+two+towers+2002,5
396879,close+encounters+of+the+third+kind+1977,4
49148,freedom+2009,2
481506,brave+2012,3
323166,city+lights+1931,4
12421,star+wars+1977,5
107231,divine+trash+1998,5
454322,my+neighbor+totoro+1988,5
47486,donnie+darko+2001,4
549122,too+hot+to+handle+1938,3
149865,the+voices+2014,4
237924,black+cat_+white+cat+1998,4
303941,dr.+strangelove+or+how+i+learned+to+stop+worrying+and+love+the+bomb+1964,5
136595,forrest+gump+1994,5
483097,the+shawshank+redemption+1994,5
74857,park+avenue+money_+power++the+american+dream+2012,4
344026,one+flew+over+the+cuckoos+nest+1975,5
353899,indiana+jones+and+the+last+crusade+1989,4
116977,fight+club+1999,5
359866,the+7th+dawn+1964,4
243463,terminator+salvation+2009,4
53351,return+2011,4
377319,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,4
560398,the+sting+1973,4
459950,the+sting+1973,4
98141,star+wars+1977,4
105232,the+lives+of+others+2006,4
261071,bitter+victory+1957,3
213151,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,5
202927,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,4
521729,dirty+dancing+1987,3
202704,the+godfather+1972,5
549835,city+lights+1931,3
129634,and+now+my+love+1974,3
509345,city+lights+1931,4
175217,the+fifth+element+1997,4
352609,the+best+years+of+our+lives+1946,4
150934,dr.+jekyll+and+mr.+hyde+1931,3
133662,the+lord+of+the+rings+the+two+towers+2002,3
487334,happiness+1998,4
107640,pulp+fiction+1994,4
30559,star+wars+1977,5
110201,notorious+1946,4
